Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","C_0603_1608Metric",4.267200,42.062400,180.000000,bottom
"D2","LED","C_0603_1608Metric",4.267200,38.252400,180.000000,bottom
"D3","LED","C_0603_1608Metric",4.267200,34.442400,180.000000,bottom
"S2","TL4100AF240QG_","SW_PTS810_SJM_250_SMTR_LFS",15.029000,20.421600,180.000000,bottom
"S3","TL4100AF240QG_","SW_PTS810_SJM_250_SMTR_LFS",15.036800,10.718800,180.000000,bottom
"S5","TL4100AF240QG_","SW_PTS810_SJM_250_SMTR_LFS",20.599400,15.560900,-90.000000,bottom
"S6","TL4100AF240QG_","SW_PTS810_SJM_250_SMTR_LFS",9.440600,15.552600,90.000000,bottom
